id;accident_id;age;sex
229;2012040161;67;m
230;2012040162;44;w
231;2012040163;22;m
232;2012040163;40;m
233;2012040164;25;m
234;2012040164;54;w
235;2012040165;61;m
236;2012040165;63;m
237;2012040165;64;m
238;2012040165;66;m
239;2012040166;21;m
240;2012040167;56;m
241;2012040167;70;m
242;2012040168;20;m
243;2012040169;56;w
244;2012040169;85;m
245;2012040170;17;m
246;2012040171;38;w
247;2012040172;28;w
248;2012040173;25;m
249;2012040174;32;w
250;2012040175;20;m
251;2012040176;46;m
252;2012040177;33;m
253;2012040177;39;m
254;2012040179;30;w
255;2012040181;51;w
256;2012040182;50;m
257;2012040182;50;w
258;2012040182;51;m
259;2012040183;18;w
260;2012040184;24;m
261;2012040185;25;w
262;2012040186;29;m
263;2012040187;43;m
264;2012040187;65;m
265;2012040188;49;m
266;2012040188;53;m
267;2012040189;21;m
268;2012040189;22;w
269;2012040190;40;m
270;2012040191;20;w
271;2012040192;16;m
272;2012040193;28;w
273;2012040193;32;m
274;2012040194;56;w
275;2012040195;18;m
276;2012040195;56;m
277;2012040196;17;m
278;2012040196;29;m
279;2012040197;64;m
280;2012040198;50;w
281;2012040199;68;m
282;2012040199;88;m
283;2012040201;82;m
284;2012040202;79;m
285;2012040203;43;m
286;2012040205;29;m
287;2012040205;50;w
288;2012040206;21;m
289;2012040206;24;m
290;2012040206;47;m
291;2012040207;58;m
292;2012040208;20;m
293;2012040209;20;m
294;2012040210;45;m
295;2012040210;62;w
296;2012040211;55;w
297;2012040212;22;w
298;2012040212;28;w
299;2012040212;54;m
300;2012040213;25;m
301;2012040214;33;m
302;2012040215;33;m
303;2012040216;71;m
304;2012040216;75;m
305;2012040217;29;m
306;2012040217;38;w
307;2012040218;19;w
308;2012040218;39;m
309;2012040219;56;m
310;2012040220;40;m
311;2012040221;19;m
312;2012040221;58;m
313;2012040222;52;m
314;2012040222;55;m
315;2012040223;44;m
316;2012040224;40;m
317;2012040225;44;m
318;2012040225;54;m
319;2012040226;20;w
320;2012040227;21;m
321;2012040228;63;m
322;2012040229;36;m
323;2012040230;38;m
324;2012040231;39;m
325;2012040232;24;w
326;2012040232;30;m
327;2012040233;24;m
328;2012040235;41;m
329;2012040235;56;m
330;2012040236;27;m
331;2012040236;38;m
332;2012040237;48;m
333;2012040237;85;w
334;2012040238;38;m
335;2012040239;40;w
336;2012040239;56;m
337;2012040240;17;m
338;2012040241;45;m
339;2012040242;58;m
340;2012040243;49;m
341;2012040244;27;m
342;2012040244;47;m
343;2012040245;19;w
344;2012040246;21;m
345;2012040247;20;m
346;2012040248;41;m
347;2012040249;30;w
348;2012040250;23;m
349;2012040250;47;w
350;2012040251;34;m
351;2012040252;59;m
352;2012040254;65;m
353;2012040256;19;m
354;2012040256;45;m
355;2012040257;21;m
356;2012040258;35;m
357;2012040258;37;w
358;2012040258;53;w
359;2012040258;84;m
360;2012040259;28;w
361;2012040260;17;w
362;2012040261;56;m
363;2012040261;87;m
364;2012040262;67;m
365;2012040263;24;m
366;2012040264;67;m
367;2012040265;59;w
368;2012040265;81;m
369;2012040266;25;m
370;2012040266;45;w
371;2012040267;55;w
372;2012040267;67;m
373;2012040268;26;m
374;2012040269;25;m
375;2012040270;28;m
376;2012040271;48;m
377;2012040272;23;w
378;2012040273;41;m
379;2012040273;46;m
380;2012040274;17;m
381;2012040274;26;m
382;2012040275;61;m
383;2012040276;30;w
384;2012040278;58;m
385;2012040279;35;m
386;2012040280;21;w
387;2012040281;59;m
388;2012040282;78;m
389;2012040283;31;w
390;2012040283;40;m
391;2012040283;70;m
392;2012040284;50;w
393;2012040285;17;w
394;2012040285;35;m
395;2012040285;47;m
396;2012040286;24;m
397;2012040286;24;w
398;2012040287;34;m
399;2012040288;36;m
400;2012040290;25;w
401;2012040290;29;m
402;2012040291;38;m
403;2012040291;56;w
404;2012040291;57;m
405;2012040292;28;w
406;2012040293;50;w
407;2012040294;35;m
408;2012040295;80;w
409;2012040296;24;w
410;2012040297;62;m
411;2012040297;73;m
412;2012040298;56;m
413;2012040299;27;m
414;2012040300;19;m
415;2012040301;20;w
416;2012040301;51;m
417;2012040302;27;m
418;2012040302;50;w
419;2012040303;15;w
420;2012040304;31;m
421;2012040305;22;m
422;2012040305;52;m
423;2012040306;32;m
424;2012040306;37;m
425;2012040307;24;m
426;2012040308;23;m
427;2012040308;42;m
428;2012040309;26;w
429;2012040310;33;m
430;2012040310;33;m
431;2012040310;71;w
432;2012040311;25;m
433;2012040312;16;w
434;2012040313;22;w
435;2012040313;46;m
436;2012040314;18;w
437;2012040316;17;w
438;2012040316;23;m
439;2012040317;36;m
440;2012040317;47;m
441;2012040318;35;m
442;2012040319;34;m
443;2012040319;66;m
444;2012040320;57;m
445;2012040321;30;w
446;2012040322;44;m
447;2012040322;52;m
448;2012040323;29;w
449;2012040324;45;w
450;2012040325;21;w
451;2012040327;39;m
452;2012040328;21;m
453;2012040329;24;m
454;2012040329;42;m
455;2012040330;62;m
456;2012040331;31;m
457;2012040332;25;w
458;2012040333;22;m
459;2012040333;78;m
460;2012040334;27;m
461;2012040335;24;m
462;2012040336;43;w
463;2012040336;49;m
464;2012040337;54;m
465;2012040338;18;m
466;2012040339;29;w
467;2012040339;61;m
468;2012040340;55;m
469;2012040341;61;m
470;2012040342;39;w
471;2012040342;55;m
472;2012040343;21;m
473;2012040343;53;m
474;2012040344;53;m
475;2012040345;48;m
476;2012040345;50;m
477;2012040346;20;m
478;2012040347;35;m
479;2012040348;22;m
480;2012040348;50;m
481;2012040349;51;m
482;2012040350;47;w
483;2012040351;24;m
484;2012040352;68;m
485;2012040353;40;m
486;2012040354;19;m
487;2012040354;62;m
488;2012040355;25;m
489;2012040356;47;w
490;2012040357;38;m
491;2012040358;39;m
492;2012040359;35;m
493;2012040360;49;m
494;2012040361;23;m
495;2012040363;23;m
496;2012040364;52;m
497;2012040365;18;m
498;2012040365;21;m
499;2012040365;31;m
500;2012040365;37;w
501;2012040365;39;m
502;2012040365;47;m
503;2012040365;49;m
504;2012040365;54;m
505;2012040365;67;m
506;2012040366;21;m
507;2012040366;24;w
508;2012040367;22;w
509;2012040368;43;m
510;2012040369;21;m
511;2012040369;30;m
512;2012040369;35;m
513;2012040370;46;m
514;2012040371;22;w
515;2012040371;22;w
516;2012040371;32;m
517;2012040371;73;m
518;2012040371;76;m
519;2012040372;42;m
520;2012040372;57;m
521;2012040372;65;m
522;2012040372;71;m
523;2012040373;26;m
524;2012040374;62;w
525;2012040376;34;w
526;2012040376;71;m
527;2012040377;39;m
528;2012040378;63;m
529;2012040378;63;m
530;2012040379;22;m
531;2012040379;24;m
532;2012040379;42;m
533;2012040380;40;w
534;2012040381;36;m
535;2012040382;43;w
536;2012040382;58;m
537;2012040383;68;m
538;2012040384;20;m
539;2012040384;32;m
540;2012040385;56;m
541;2012040386;48;m
542;2012040387;28;w
543;2012040387;58;m
544;2012040388;21;m
545;2012040388;30;w
546;2012040388;32;w
547;2012040388;57;m
548;2012040389;17;m
549;2012040390;18;m
550;2012040393;58;m
551;2012040395;59;m
552;2012040396;25;m
553;2012040397;20;m
554;2012040397;23;w
555;2012040397;43;w
556;2012040398;28;w
557;2012040398;45;m
558;2012040399;29;w
559;2012040400;20;m
560;2012040400;21;m
561;2012040401;28;m
562;2012040402;86;m
563;2012040403;29;m
564;2012040403;42;m
565;2012040404;24;m
566;2012040405;38;w
567;2012040405;80;w
568;2012040406;47;w
569;2012040407;24;m
570;2012040408;21;m
571;2012040408;27;m
572;2012040408;44;m
573;2012040408;44;w
574;2012040409;51;w
575;2012040409;57;m
576;2012040410;22;m
577;2012040411;21;m
578;2012040411;43;w
579;2012040412;44;w
580;2012040413;28;w
581;2012040414;55;w
582;2012040415;88;m
583;2012040416;44;m
584;2012040416;65;w
585;2012040417;21;m
586;2012040417;46;m
587;2012040418;18;m
588;2012040419;41;m
589;2012040421;17;m
590;2012040421;49;m
591;2012040422;43;m
592;2012040423;19;m
593;2012040423;25;w
594;2012040424;22;m
595;2012040425;36;m
596;2012040426;61;w
597;2012040427;18;m
598;2012040427;23;w
599;2012040427;31;m
600;2012040427;36;m
601;2012040427;58;m
602;2012040427;65;m
603;2012040428;70;w
604;2012040429;46;m
605;2012040430;58;m
606;2012040431;19;m
607;2012040432;19;m
608;2012040432;59;m
609;2012040433;60;w
610;2012040434;22;m
611;2012040436;41;m
612;2012040437;70;m
613;2012040438;30;m
614;2012040438;43;m
615;2012040438;56;m
616;2012040439;17;m
617;2012040440;25;m
618;2012040441;19;m
619;2012040441;47;m
620;2012040442;28;m
621;2012040442;37;m
622;2012040444;27;m
623;2012040444;61;m
624;2012040445;23;w
625;2012040445;43;m
626;2012040446;57;m
627;2012040446;83;w
628;2012040447;55;m
629;2012040448;65;w
630;2012040449;69;w
631;2012040449;80;m
632;2012040450;45;w
633;2012040451;22;m
634;2012040451;32;w
635;2012040453;32;m
636;2012040454;63;m
637;2012040456;29;m
638;2012040456;67;w
639;2012040457;43;m
640;2012040458;45;m
641;2012040458;86;m
642;2012040459;49;m
643;2012040460;82;m
644;2012040461;58;m
645;2012040462;37;m
646;2012040462;38;w
647;2012040463;44;w
648;2012040463;60;m
649;2012040464;20;m
650;2012040464;24;m
651;2012040464;25;m
652;2012040464;64;m
653;2012040465;46;m
654;2012040466;69;m
655;2012040467;41;m
656;2012040468;20;m
657;2012040468;36;m
658;2012040468;39;m
659;2012040468;40;m
660;2012040468;48;w
661;2012040468;54;w
662;2012040469;27;m
663;2012040470;86;m
664;2012040471;52;w
665;2012040472;31;m
666;2012040472;40;w
667;2012040472;44;m
668;2012040472;62;m
669;2012040473;60;m
670;2012040474;53;m
671;2012040475;23;m
672;2012040475;34;w
673;2012040477;31;m
674;2012040477;40;m
675;2012040478;24;m
676;2012040478;41;m
677;2012040479;18;m
678;2012040480;19;w
679;2012040481;27;m
680;2012040482;44;m
681;2012040483;38;m
682;2012040484;78;m
683;2012040485;50;w
684;2012040486;52;w
685;2012040487;20;w
686;2012040488;20;m
687;2012040488;64;m
688;2012040489;23;w
689;2012040490;40;m
690;2012040491;47;m
691;2012040492;61;m
692;2012040493;37;m
693;2012040494;23;m
694;2012040494;43;m
695;2012040494;59;w
696;2012040495;20;m
697;2012040495;23;m
698;2012040495;32;m
699;2012040496;40;w
700;2012040496;89;m
701;2012040497;22;m
702;2012040498;23;m
703;2012040499;29;m
704;2012040499;57;m
705;2012040500;53;m
706;2012040500;61;m
707;2012040501;42;m
708;2012040502;52;m
709;2012040503;22;m
710;2012040504;67;m
711;2012040505;48;m
712;2012040506;41;m
713;2012040507;54;w
714;2012040507;62;w
715;2012040508;38;m
716;2012040509;62;w
717;2012040510;29;m
718;2012040510;33;m
719;2012040510;41;w
720;2012040511;24;m
721;2012040511;54;m
722;2012040512;63;m
723;2012040513;63;m
724;2012040513;65;m
725;2012040514;24;m
726;2012040514;54;m
727;2012040515;38;m
728;2012040516;42;m
729;2012040517;21;m
730;2012040518;37;m
731;2012040519;51;m
732;2012040520;66;w
733;2012040521;41;m
734;2012040522;33;m
735;2012040523;72;w
736;2012040525;20;m
737;2012040525;23;m
738;2012040525;29;w
739;2012040525;29;w
740;2012040525;49;w
741;2012040526;40;m
742;2012040527;20;m
743;2012040527;34;m
744;2012040528;52;w
745;2012040529;39;w
746;2012040529;51;m
747;2012040530;60;m
748;2012040531;35;m
749;2012040531;40;m
750;2012040531;68;m
751;2012040532;25;m
752;2012040532;56;m
753;2012040533;34;m
754;2012040534;18;m
755;2012040535;44;m
756;2012040535;45;m
757;2012040536;32;m
758;2012040537;35;w
759;2012040538;39;m
760;2012040538;46;m
761;2012040539;16;w
762;2012040539;61;m
763;2012040540;18;m
764;2012040541;55;w
765;2012040542;25;m
766;2012040543;41;w
767;2012040544;31;m
768;2012040546;42;w
769;2012040547;22;m
770;2012040547;61;m
771;2012040547;63;m
772;2012040548;21;m
773;2012040548;40;w
774;2012040548;41;m
775;2012040548;53;m
776;2012040549;24;m
777;2012040549;47;w
778;2012040550;53;m
779;2012040551;31;m
780;2012040551;45;m
781;2012040552;32;m
782;2012040553;48;m
783;2012040553;60;m
784;2012040554;26;m
785;2012040556;21;m
786;2012040556;32;m
787;2012040557;17;m
788;2012040557;65;m
789;2012040558;55;m
790;2012040559;55;m
791;2012040560;55;m
792;2012040561;22;m
793;2012040561;53;m
794;2012040562;76;m
795;2012040563;48;w
796;2012040564;21;m
797;2012040564;28;m
798;2012040566;35;m
799;2012040567;46;m
800;2012040567;59;m
801;2012040568;16;m
802;2012040568;20;w
803;2012040569;32;w
804;2012040569;34;m
805;2012040570;20;m
806;2012040570;47;m
807;2012040571;35;m
808;2012040572;46;w
809;2012040573;62;w
810;2012040574;57;m
811;2012040575;89;m
812;2012040576;76;m
813;2012040577;32;m
814;2012040577;45;m
815;2012040578;32;m
816;2012040579;21;m
817;2012040579;87;m
818;2012040580;63;w
819;2012040581;44;m
820;2012040582;18;m
821;2012040583;53;m
822;2012040584;19;m
823;2012040585;23;m
824;2012040587;23;m
825;2012040587;25;w
826;2012040588;62;m
827;2012040590;18;m
828;2012040591;32;m
829;2012040593;31;m
830;2012040594;53;m
831;2012040595;34;w
832;2012040596;89;m
833;2012040597;22;w
834;2012040598;17;m
835;2012040598;27;m
836;2012040599;33;m
837;2012040599;51;w
838;2012040601;47;m
839;2012040602;58;m
840;2012040603;45;m
841;2012040604;67;m
842;2012040605;51;w
843;2012040606;26;m
844;2012040606;56;w
845;2012040606;71;w
846;2012040608;86;m
847;2012040609;25;w
848;2012040609;69;w
849;2012040610;18;m
850;2012040611;48;m
851;2012040612;97;m
852;2012040613;38;m
853;2012040614;52;m
854;2012040615;27;m
855;2012040615;39;w
856;2012040616;35;m
857;2012040616;55;w
858;2012040617;31;m
859;2012040618;29;m
860;2012040618;44;m
861;2012040620;39;m
862;2012040621;23;m
863;2012040622;38;w
864;2012040623;26;m
865;2012040623;61;m
866;2012040625;49;m
867;2012040626;52;w
868;2012040627;32;m
869;2012040628;35;w
870;2012040629;31;m
871;2012040629;52;m
872;2012040630;28;m
873;2012040631;23;w
874;2012040631;51;w
875;2012040632;22;m
876;2012040632;53;w
877;2012040633;18;m
878;2012040633;73;w
879;2012040633;90;m
880;2012040634;56;m
881;2012040634;77;m
882;2012040635;39;w
883;2012040636;23;w
884;2012040636;62;m
885;2012040637;73;w
886;2012040638;47;w
887;2012040639;19;m
888;2012040639;43;m
889;2012040640;54;m
890;2012040641;22;w
891;2012040641;43;m
892;2012040644;89;m
893;2012040645;18;m
894;2012040646;28;m
895;2012040647;29;m
896;2012040648;22;m
897;2012040649;46;m
898;2012040650;34;w
899;2012040651;39;m
900;2012040652;16;w
901;2012040652;28;w
902;2012040653;39;m
903;2012040654;33;m
904;2012040654;70;m
905;2012040654;83;m
906;2012040655;40;w
907;2012040655;78;m
908;2012040656;35;w
909;2012040656;63;m
910;2012040657;48;m
911;2012040658;45;m
912;2012040658;45;m
913;2012040658;78;m
914;2012040659;30;m
915;2012040659;34;w
916;2012040660;54;w
917;2012040661;25;m
918;2012040661;29;m
919;2012040661;39;m
920;2012040661;51;m
921;2012040662;17;m
922;2012040663;48;m
923;2012040663;75;m
924;2012040664;21;w
925;2012040664;33;w
926;2012040664;40;m
927;2012040664;62;m
928;2012040665;18;m
929;2012040665;60;m
930;2012040666;26;m
931;2012040666;44;m
932;2012040667;23;w
933;2012040667;30;w
934;2012040668;75;w
935;2012040669;21;m
936;2012040671;19;m
937;2012040672;22;m
938;2012040673;16;w
939;2012040673;65;m
940;2012040674;54;m
941;2012040674;59;w
942;2012040675;34;m
943;2012040675;44;m
944;2012040675;72;m
945;2012040676;25;m
946;2012040676;38;m
947;2012040677;29;w
948;2012040678;44;m
949;2012040679;23;m
950;2012040679;48;m
951;2012040680;31;m
952;2012040681;20;m
953;2012040681;40;w
954;2012040682;60;m
955;2012040683;64;m
956;2012040683;65;m
957;2012040684;69;m
958;2012040685;51;m
959;2012040686;79;m
960;2012040687;22;w
961;2012040687;41;m
962;2012040688;29;w
963;2012040689;43;m
964;2012040689;78;m
965;2012040690;47;w
966;2012040693;36;w
967;2012040694;22;m
968;2012040694;48;w
969;2012040694;49;m
970;2012040695;36;w
971;2012040695;42;m
972;2012040696;57;m
973;2012040697;27;m
974;2012040698;44;m
975;2012040700;22;w
976;2012040700;23;m
977;2012040701;33;m
978;2012040702;27;w
979;2012040703;69;m
980;2012040706;39;w
981;2012040706;61;m
982;2012040707;29;m
983;2012040707;34;m
984;2012040707;40;m
985;2012040707;44;m
986;2012040707;45;m
987;2012040707;46;m
988;2012040707;58;m
989;2012040708;30;w
990;2012040708;35;m
991;2012040709;54;m
992;2012040710;29;m
993;2012040711;39;m
994;2012040712;16;m
995;2012040713;61;w
996;2012040714;45;m
997;2012040715;59;m
998;2012040715;61;m
999;2012040716;16;m
1000;2012040716;56;w
1001;2012040717;59;m
1002;2012040717;62;m
1003;2012040718;16;m
1004;2012040719;53;w
1005;2012040720;21;m
1006;2012040721;23;m
1007;2012040722;39;m
1008;2012040722;57;m
1009;2012040724;20;m
1010;2012040725;37;w
1011;2012040726;82;m
1012;2012040727;24;m
1013;2012040727;30;m
1014;2012040728;19;m
1015;2012040728;24;m
1016;2012040729;18;m
1017;2012040729;51;w
1018;2012040730;17;w
1019;2012040730;54;w
1020;2012040731;26;m
1021;2012040731;62;m
1022;2012040732;34;w
1023;2012040733;28;w
1024;2012040734;34;m
1025;2012040734;56;m
1026;2012040735;43;m
1027;2012040735;66;w
1028;2012040736;69;w
1029;2012040737;65;m
1030;2012040738;23;m
1031;2012040741;46;w
1032;2012040742;27;w
1033;2012040743;57;w
1034;2012040744;20;m
1035;2012040744;22;m
1036;2012040745;17;w
1037;2012040745;70;w
1038;2012040746;45;w
1039;2012040746;59;m
1040;2012040747;37;m
1041;2012040747;74;m
1042;2012040748;30;m
1043;2012040749;20;m
1044;2012040750;83;m
1045;2012040751;38;m
1046;2013040001;58;w
1047;2013040002;44;m
1048;2013040003;39;m
1049;2013040004;27;w
1050;2013040005;21;m
1051;2013040005;30;m
1052;2013040006;48;m
1053;2013040009;29;m
1054;2013040009;37;w
1055;2013040010;18;m
1056;2013040010;49;w
1057;2013040011;51;m
1058;2013040012;41;w
1059;2013040013;26;m
1060;2013040013;28;m
1061;2013040014;21;m
1062;2013040015;57;w
1063;2013040016;44;m
1064;2013040017;63;m
1065;2013040017;75;w
1066;2013040018;16;w
1067;2013040019;41;w
1068;2013040020;59;m
1069;2013040021;65;m
1070;2013040022;25;w
1071;2013040023;46;w
1072;2013040023;49;m
1073;2013040023;59;w
1074;2013040024;24;w
1075;2013040024;31;m
1076;2013040024;45;m
1077;2013040025;70;m
1078;2013040026;25;w
1079;2013040026;53;m
1080;2013040027;30;m
1081;2013040028;80;m
1082;2013040029;23;m
1083;2013040031;71;m
1084;2013040031;79;w
1085;2013040032;59;m
1086;2013040033;32;m
1087;2013040034;47;w
1088;2013040035;43;w
1089;2013040036;46;w
1090;2013040037;18;m
1091;2013040037;20;w
1092;2013040037;24;m
1093;2013040038;51;m
1094;2013040039;17;w
1095;2013040040;66;m
1096;2013040041;32;m
1097;2013040042;18;m
1098;2013040042;64;m
1099;2013040044;63;w
1100;2013040045;38;w
1101;2013040046;34;m
1102;2013040047;39;w
1103;2013040047;47;m
1104;2013040048;48;w
1105;2013040048;81;w
1106;2013040050;19;w
1107;2013040050;34;m
1108;2013040051;25;w
1109;2013040052;38;m
1110;2013040052;51;m
1111;2013040052;55;w
1112;2013040054;68;m
1113;2013040055;52;m
1114;2013040056;56;m
1115;2013040056;86;w
1116;2013040057;41;m
1117;2013040057;41;m
1118;2013040057;45;m
1119;2013040057;72;w
1120;2013040058;41;m
1121;2013040058;65;m
1122;2013040059;46;m
1123;2013040059;70;w
1124;2013040060;49;w
1125;2013040060;84;m
1126;2013040061;34;m
1127;2013040062;18;w
1128;2013040062;19;m
1129;2013040062;32;w
1130;2013040062;42;w
1131;2013040063;24;m
1132;2013040063;62;w
1133;2013040064;19;w
1134;2013040065;21;w
1135;2013040066;52;m
1136;2013040067;20;m
1137;2013040068;60;w
1138;2013040068;62;m
1139;2013040069;35;m
1140;2013040070;42;w
1141;2013040070;63;m
1142;2013040071;38;w
1143;2013040071;55;m
1144;2013040072;22;w
1145;2013040073;21;w
1146;2013040074;24;m
1147;2013040075;70;m
1148;2013040076;40;m
1149;2013040076;46;m
1150;2013040076;71;m
1151;2013040077;49;m
1152;2013040079;46;m
1153;2013040080;24;w
1154;2013040080;38;w
1155;2013040081;18;m
1156;2013040081;40;w
1157;2013040082;55;m
1158;2013040083;36;m
1159;2013040083;58;w
1160;2013040085;38;w
1161;2013040086;56;m
1162;2013040087;20;m
1163;2013040087;39;m
1164;2013040088;21;m
1165;2013040089;19;m
1166;2013040089;25;m
1167;2013040089;25;w
1168;2013040089;27;m
1169;2013040089;31;m
1170;2013040089;49;m
1171;2013040090;56;m
1172;2013040091;82;m
1173;2013040091;89;w
1174;2013040092;71;w
1175;2013040094;70;m
1176;2013040095;57;w
1177;2013040096;59;m
1178;2013040097;24;w
1179;2013040097;26;m
1180;2013040098;77;m
1181;2013040099;27;m
1182;2013040100;49;m
1183;2013040101;50;m
1184;2013040101;77;m
1185;2013040102;76;m
1186;2013040103;23;m
1187;2013040104;26;m
1188;2013040105;77;m
1189;2013040106;29;m
1190;2013040106;49;m
1191;2013040107;24;m
1192;2013040109;19;w
1193;2013040109;52;w
1194;2013040109;62;w
1195;2013040109;79;w
1196;2013040110;33;m
1197;2013040111;22;m
1198;2013040113;57;m
1199;2013040114;19;m
1200;2013040114;19;m
1201;2013040114;50;w
1202;2013040115;83;w
1203;2013040116;70;w
1204;2013040116;76;m
1205;2013040117;28;m
1206;2013040118;27;w
1207;2013040119;64;m
1208;2013040120;20;m
1209;2013040120;21;w
1210;2013040121;43;m
1211;2013040122;46;m
1212;2013040122;70;m
1213;2013040123;22;m
1214;2013040124;15;w
1215;2013040125;77;w
1216;2013040126;29;m
1217;2013040127;36;m
1218;2013040127;47;w
1219;2013040128;42;m
1220;2013040129;19;m
1221;2013040133;64;m
1222;2013040134;31;m
1223;2013040135;63;m
1224;2013040136;20;m
1225;2013040136;50;w
1226;2013040137;26;m
1227;2013040138;50;w
1228;2013040138;72;m
1229;2013040139;40;m
1230;2013040140;70;m
1231;2013040141;31;m
1232;2013040141;57;m
1233;2013040143;41;m
1234;2013040144;48;m
1235;2013040145;84;m
1236;2013040146;56;m
1237;2013040148;57;w
1238;2013040148;68;m
1239;2013040149;54;m
1240;2013040150;17;w
1241;2013040150;25;m
1242;2013040150;38;m
1243;2013040151;65;m
1244;2013040152;21;m
1245;2013040153;18;m
1246;2013040154;68;m
1247;2013040154;70;w
